body,title,url
"Colombia se acerca a sus 50 millones de habitantes y las necesidades de alimentación crecen al ritmo de su población. Pensando en los retos y las oportunidades que surgen de este contexto, la Facultad de Ingeniería de la Universidad de los Andes presenta su programa en Ingeniería de Alimentos, cuya primera cohorte iniciará en julio de 2020",Uniandes presenta su pregrado en Ingeniería de Alimentos,https://www.eltiempo.com/contenido-comercial/uniandes-presenta-su-pregrado-en-ingenieria-de-alimentos-457584
"





Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        


Las tres víctimas eran miembros de una misma familia. La Policía ofrec ...












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        


Según Carlos Holmes Trujillo, aerovan afiliada a la empresa Supertaxis ...














Explosión

03:13 p.m. 




                            Bus que estalló en Cauca salió de la Terminal en Pasto e iba para Cali
                        












Comuna 13 de Medellín

03:04 p.m. 




                            Preocupación en la Comuna 13 por 6 muertes violentas en 48 horas
                        












Defensa propia

03:02 p.m. 




                            Hombre mató a presunto ladrón que habría robado a su hijo
                        









","
La historia del padre que le enseñó a su hija a reírse de las bombas
",https://www.eltiempo.com/colombia/otras-ciudades/las-cinco-pistas-de-aterrizaje-mas-peligrosas-de-colombia-462206
"





Cali

03:35 p.m. 




                            Cortes en el suministro de agua en comuna 18 de la ciudad
                        


Emcali invitó a la ciudadanía a que, al aprovisionar agua, sea para la ...












Barranquilla

03:34 p.m. 




                            Estos son los controles de Barranquilla en los carnavales
                        


El Distrito expidió los decretos para garantizar el orden público dura ...














Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        












Explosión

03:13 p.m. 




                            Bus que estalló en Cauca salió de la Terminal en Pasto e iba para Cali
                        









","
La historia del padre que le enseñó a su hija a reírse de las bombas
",https://www.eltiempo.com/cultura/gente/mansion-que-compro-jeff-bezos-fundador-de-amazon-463364
"Cheryl Sanders, famosa actriz estadounidense, y su esposo Robert Reed, fueron asesinados en medio de un tiroteo el pasado 12 de febrero en la zona residencial de Yellow Springs, en el condado de Greene, en el estado estadounidense de Ohio.",Asesinan a actriz de ‘Volver al futuro’ junto a su esposo en tiroteo,https://www.eltiempo.com/cultura/gente/muere-actriz-de-volver-al-futuro-en-un-tiroteo-cherly-sanders-463178
"





Cali

03:35 p.m. 




                            Cortes en el suministro de agua en comuna 18 de la ciudad
                        


Emcali invitó a la ciudadanía a que, al aprovisionar agua, sea para la ...












Barranquilla

03:34 p.m. 




                            Estos son los controles de Barranquilla en los carnavales
                        


El Distrito expidió los decretos para garantizar el orden público dura ...














Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        












Explosión

03:13 p.m. 




                            Bus que estalló en Cauca salió de la Terminal en Pasto e iba para Cali
                        









",Ladrones de relojes se camuflan como domiciliarios,https://www.eltiempo.com/bogota/ladrones-de-relojes-se-camuflan-como-domiciliarios-462944
"La integración familiar que celebraba la familia Sanjuanelo en su vivienda terminó en tragedia luego de que uno de los presentes lanzó fuertes palabras hacia una mujer que pasaba por la calle en compañía de dos extranjeros, de nacionalidad venezolana.La reacción de los acompañantes de la mujer dejó impactados a todos, pues se devolvieron y luego de lanzar ofensas verbales contra la familia Sanjuanelo, los conminaron de muerte.",Asesinan a tres hombres en Santa Marta por ofender a una mujer,https://www.eltiempo.com/colombia/otras-ciudades/hombres-asesinados-por-lanzar-piropo-a-una-mujer-en-santa-marta-462964
"Univision podría estar a punto de ser vendida. La cadena de televisión hispana de mayor audiencia en Estados Unidos, está negociando su venta a un grupo de inversores liderado por un exejecutivo de Viacom, informó The Wall Street Journal (WSJ). El diario adelanta que las conversaciones son exclusivas y van por buen camino.",La cadena Univision sería vendida en 10 mil millones de dólares,https://www.eltiempo.com/economia/empresas/univision-seria-vendida-en-10-mil-millones-de-dolares-462896
"El senador del Centro Democrático y expresidente del Senado, Ernesto Macías, explicó este martes cómo fue su traslado de un fondo de pensiones privado a un fondo público. Señaló que su traslado no fue en tiempo récord, como un informativo aseguró.",Ernesto Macías explica su traslado de fondo de pensiones,https://www.eltiempo.com/politica/congreso/ernesto-macias-explica-su-traslado-de-fondo-de-pensiones-463392
"¿Se ha preguntado alguna vez cómo sería vivir en una isla desierta? ¿O quizás sabe cuántas horas tienen que caminar algunas personas para poder conseguir agua? Para muchos colombianos esto no es una cuestión sino un contexto.Uno diario y, a veces, aparentemente eterno.Por eso, EL TIEMPO viajó a cinco puntos del país donde conoció la historia de comunidades y hasta de infantes de marina que tienen que superar condiciones para algunos extremas al ser habitantes de aquellos lugares, y elaboró un gran especial multimedia que incluye crónicas y documentales.",Recorra con nosotros los 5 puntos más extremos de Colombia para vivir,https://www.eltiempo.com/colombia/otras-ciudades/cinco-lugares-extremos-de-colombia-para-vivir-431836
"""Diarrea y gastroenteritis de presunto origen infeccioso"".Ese es el diagnóstico médico que presentó ante la justicia Diego Cadena, abogado del expresidente Álvaro Uribe, quien fue citado este martes a audiencia de imputación de cargos.Tal como lo reveló EL TIEMPO, está programada además la solicitud de medida de aseguramiento dentro del proceso que se le sigue por presunto soborno a testigos, caso ligado al que la Corte lleva contra el expresidente por el mismo cargo, sumado al de fraude procesal. ",La excusa de abogado de Álvaro Uribe para que no le imputen cargos hoy,https://www.eltiempo.com/unidad-investigativa/la-excusa-del-abogado-de-alvaro-uribe-para-que-no-le-imputen-cargos-463352
"Profesionales colombianos podrán postularse hasta el 4 de mayo para cursar estudios de maestría y doctorado. Estas becas son co-financiadas por Minciencias, Mineducación, Mincultura, USAID Colombia y el programa Colombia Científica, a través del Icetex.Para este año el portafolio de becas Fulbright comprende cinco programas:  MinCiencias, pasaporte a la Ciencia,  MinCultura para artistas, para Líderes Afrodescendientes y  para Líderes Indígenas. Cada una tiene sus propios requisitos de postulación y buscan a más de 60 beneficiarios que deseen continuar con sus estudios en las universidades más prestigiosas de Estados Unidos. ",Conozca todo sobre la convocatoria 2020 de becas Fulbright,https://www.eltiempo.com/vida/educacion/convocatorias-2020-de-becas-fulbright-para-posgrados-en-usa-463142
"





Santa Marta

03:20 p.m. 




                            Los rostros de quienes habrían matado a 3 hombres por ofender a mujer
                        


Las tres víctimas eran miembros de una misma familia. La Policía ofrec ...












Cauca

03:14 p.m. 




                            'Vehículo que explotó en el Cauca sí llevaba explosivos': Mindefensa
                        


Según Carlos Holmes Trujillo, aerovan afiliada a la empresa Supertaxis ...














Explosión

03:13 p.m. 




                            Bus que estalló en Cauca salió de la Terminal en Pasto e iba para Cali
                        












Comuna 13 de Medellín

03:04 p.m. 




                            Preocupación en la Comuna 13 por 6 muertes violentas en 48 horas
                        












Defensa propia

03:02 p.m. 




                            Hombre mató a presunto ladrón que habría robado a su hijo
                        









","
La historia del padre que le enseñó a su hija a reírse de las bombas
",https://www.eltiempo.com/politica/gobierno/quienes-son-los-colombianos-que-estan-en-wuhan-463008
"El expresidente Álvaro Uribe aclaró este martes las dudas que han surgido en varios sectores tras la publicación de su declaración renta este lunes, cumpliendo con la obligación que tienen los congresistas y altos funcionarios del Estado, a partir de este año de hacer público este documento.",Uribe explica valores de su declaración de renta y de bienes,https://www.eltiempo.com/politica/partidos-politicos/declaracion-de-renta-alvaro-uribe-explicacion-de-lo-declarado-463514
