body,title,url
"Un año después del atentado contra la Escuela de Cadetes General Santander –el peor ataque terrorista contra una unidad de la Fuerza Pública en una gran urbe– persisten varios de los interrogantes que dejó esa acción criminal del Eln, así como sus consecuencias políticas y diplomáticas. Desde un primer momento, la Fiscalía logró demostrar la responsabilidad de esa guerrilla en la explosión del carro bomba contra la escuela de formación de los cadetes de la Policía, ubicada en el sur de Bogotá.El hombre que conducía el carro, un veterano ‘eleno’ conocido con el alias de El Mocho –había perdido una mano manipulando explosivos en la zona de frontera con Venezuela– murió en el sitio. (Le puede interesar: El cadete que murió a sus 22 años sin conocer a su hija Guadalupe)",Un año del ataque del terrorismo contra el corazón de la Policía,https://www.eltiempo.com/justicia/investigacion/como-esta-la-investigacion-del-atentado-a-la-escuela-de-cadetes-un-ano-despues-452698
"Cecilia Torres Santos, de 80 años, fue secuestrada el pasado 29 de noviembre en el sector de Ruitoque Alto en Floridablanca, Santander.",Liberan a mujer de 80 años que duró secuestrada tres meses,https://www.eltiempo.com/colombia/otras-ciudades/liberan-a-mujer-de-80-anos-que-duro-secuestrada-tres-meses-en-santander-461756
"¿Se ha preguntado alguna vez cómo sería vivir en una isla desierta? ¿O quizás sabe cuántas horas tienen que caminar algunas personas para poder conseguir agua? Para muchos colombianos esto no es una cuestión sino un contexto.Uno diario y, a veces, aparentemente eterno.Por eso, EL TIEMPO viajó a cinco puntos del país donde conoció la historia de comunidades y hasta de infantes de marina que tienen que superar condiciones para algunos extremas al ser habitantes de aquellos lugares, y elaboró un gran especial multimedia que incluye crónicas y documentales.",Recorra con nosotros los 5 puntos más extremos de Colombia para vivir,https://www.eltiempo.com/colombia/otras-ciudades/cinco-lugares-extremos-de-colombia-para-vivir-431836
"Los colombianos en Wuhan serán evacuados el próximo 22 de febrero. Así lo informó la Cancillería este viernes a través de un comunicado, en el que dice que se hará de forma aérea, en coordinación entre la Cancillería, el Ministerio de Defensa, la Fuerza Aérea, el Ministerio de Salud y otras entidades del Estado.",Colombianos en Wuhan serán evacuados el 22 de febrero: Cancillería,https://www.eltiempo.com/politica/gobierno/colombianos-en-wuhan-seran-evacuados-en-22-de-febrero-cancilleria-462214
"Carlos Montaño, integrante del dueto Siam; Juan Manuel Medina, ex Mojito Lite; Alejandro González, de Bonka, así como Karoll Márquez y Juan Manuel Mendoza son los Hombres a la plancha, un espectáculo de música del Teatro Nacional que ya completó las 100 funciones.",Los 'hombres a la plancha' también tienen su corazón,https://www.eltiempo.com/cultura/arte-y-teatro/hombres-a-la-plancha-vuelven-los-guapos-que-cantan-baladas-461934
"El nuevo ministro de Salud, Fernando Ruiz, aceptó la renuncia de Cristina Arango como directora de la Administradora de Recursos del Sistema General de Seguridad Social en Salud (Adres).","Renuncia Cristina Arango, directora de la Adres",https://www.eltiempo.com/salud/renuncia-directora-de-la-adres-cristina-arango-462218
"Los últimos años no han sido los más tranquilos para los directivos de la aerolínea Avianca, pues además de tener que enfrentar la difícil situación financiera de la compañía, han tenido que capotear uno tras de otro escándalo, en medio de la implementación de una estrategia de recuperación que apunta llevar a la firma otra vez al terreno positivo en materia financiera.",Los grandes líos que rodean el nuevo despegue de la aerolínea Avianca,https://www.eltiempo.com/economia/empresas/los-lios-que-enfrenta-avianca-en-su-plan-de-recuperacion-461848
"Comenzó con una descortesía y terminó con otra. Primero, el presidente norteamericano, Donald Trump, decidió dejarle el saludo colgado a Nancy Pelosi, líder de la Cámara de Representantes. Después, tan pronto Trump finalizó el tradicional discurso anual del estado de la Unión en el Congreso, Pelosi desgarró en pedazos el texto presidencial.",,https://www.eltiempo.com/opinion/columnistas/eduardo-posada-carbo/fin-de-las-cortesias-columna-de-eduardo-posada-carbo-461986
"Para los exportadores de flores en Colombia, el día del San Valentín es el agosto del año, principalmente porque se trata de la celebración de los enamorados en Estados Unidos, país que representa el 80 por ciento de las ventas externas de este sector del agro.","La mujer colombiana, clave del éxito del país en día de San Valentín",https://www.eltiempo.com/economia/sectores/dia-de-san-valentin-trabajar-con-flores-le-cambio-la-vida-a-una-mujer-victima-de-la-violencia-462026
"Siempre guardando silencio, viendo a los otros desde la barrera, sintiendo ese miedo a ser rechazada, burlada, apartada. Rehuyendo las miradas. Así pintó Leticia su niñez. “Tardé en darme cuenta de mi neurosis. Las emociones me provocaban miedo, me desintegraban, yo anhelaba cosas, pero hacía otras”.",‘Perdí mi trabajo por el terror que sentía de hablar con mis jefes’,https://www.eltiempo.com/bogota/testimonio-de-mujer-depresiva-perdi-mi-trabajo-por-el-terror-que-sentia-de-hablar-con-mis-jefes-462054
